"#","Tag","Games with this tag","Votes for this tag","Tag weight","Price (median)","Userscore (median)","Owners (median)","Playtime (median)"
"286","Photo Editing","17","455","27","$29.99","82%","6,000","00:46"
"291","Diplomacy","15","1,882","125","$29.99","91%","849,000","08:24"
"251","Audio Production","30","827","28","$27.49","67.5%","6,000","01:27"
"266","Web Publishing","24","704","29","$24.99","87%","9,000","01:25"
"329","Artificial Intelligence","2","47","24","$22.49","80.5%","211,000","07:36"
"94","Moddable","176","49,912","284","$19.99","90%","857,000","05:09"
"137","Grand Strategy","106","11,422","108","$19.99","77.5%","85,000","04:48"
"143","4X","100","8,186","82","$19.99","79%","87,000","04:07"
"160","Real-Time with Pause","78","6,301","81","$19.99","84.5%","219,000","04:29"
"163","Animation & Modeling","76","6,332","83","$19.99","79.5%","5,000","01:20"
"174","3D Vision","68","2,463","36","$19.99","85%","633,000","03:22"
"181","Wargame","61","1,653","27","$19.99","80%","10,000","03:35"
"201","Linear","50","3,948","79","$19.99","85%","984,000","03:56"
"213","Video Production","42","1,348","32","$19.99","71.5%","7,000","01:20"
"230","Cinematic","37","4,696","127","$19.99","85%","312,000","03:01"
"231","Quick-Time Events","37","5,510","149","$19.99","79%","242,000","03:28"
"237","Real Time Tactics","36","2,658","74","$19.99","86.5%","120,000","04:18"
"252","Warhammer 40K","30","3,180","106","$19.99","74%","160,000","04:18"
"254","America","29","4,456","154","$19.99","76%","626,000","04:02"
"268","Spectacle fighter","24","2,452","102","$19.99","86%","225,000","03:20"
"274","Offroad","22","2,330","106","$19.99","65.5%","26,000","02:44"
"277","TrackIR","21","2,059","98","$19.99","78%","483,000","04:30"
"279","Heist","20","6,099","305","$19.99","78%","266,000","04:10"
"293","Batman","15","5,415","361","$19.99","84%","553,000","06:45"
"298","Modern","14","722","52","$19.99","81.5%","214,000","02:30"
"302","Benchmark","13","854","66","$19.99","81%","74,000","02:14"
"315","Nonlinear","7","645","92","$19.99","84%","268,000","03:29"
"320","Wrestling","6","239","40","$19.99","66.5%","6,000","08:26"
"133","Kickstarter","111","4,427","40","$18.99","81%","126,000","02:50"
"247","Crowdfunded","32","1,345","42","$17.49","82.5%","88,000","03:18"
"325","Investigation","4","325","81","$17.49","80.5%","179,000","05:11"
"239","Assassin","35","9,628","275","$16.99","83%","601,000","04:22"
"242","Software Training","34","1,051","31","$16.49","72%","9,000","00:52"
"183","Otome","59","1,504","25","$15.99","85%","10,000","04:00"
"245","Hunting","33","4,829","146","$15.99","72%","61,000","03:13"
"70","Historical","253","27,054","107","$14.99","80%","109,000","03:34"
"92","Realistic","180","27,867","155","$14.99","77%","202,000","03:32"
"111","Character Customization","140","17,660","126","$14.99","83%","503,000","04:15"
"117","Military","131","24,057","184","$14.99","83%","519,000","03:32"
"127","Turn-Based Combat","115","4,445","39","$14.99","83%","60,000","03:35"
"131","Futuristic","113","14,629","129","$14.99","81%","247,000","03:13"
"144","Driving","99","13,584","137","$14.99","76%","127,000","03:16"
"145","Remake","98","6,381","65","$14.99","85%","223,000","02:50"
"149","Base-Building","95","11,973","126","$14.99","80%","195,000","04:06"
"152","Design & Illustration","87","2,819","32","$14.99","82.5%","5,000","01:10"
"167","Loot","72","6,420","89","$14.99","82%","100,000","04:00"
"180","2.5D","62","1,959","32","$14.99","85%","144,000","02:09"
"188","Hex Grid","57","3,622","64","$14.99","78%","68,000","03:49"
"193","CRPG","53","1,939","37","$14.99","84%","99,000","02:54"
"197","Game Development","52","2,176","42","$14.99","84%","21,000","01:05"
"202","Strategy RPG","47","1,267","27","$14.99","81%","27,000","03:37"
"205","Software","46","1,629","35","$14.99","75.5%","19,000","01:35"
"206","Tactical RPG","46","1,412","31","$14.99","84.5%","35,000","03:34"
"218","Trains","41","2,216","54","$14.99","68%","19,000","03:22"
"221","Alternate History","39","2,815","72","$14.99","85%","146,000","04:06"
"229","Games Workshop","37","2,107","57","$14.99","75.5%","244,000","03:22"
"235","Swordplay","36","3,317","92","$14.99","83%","57,000","03:34"
"283","Sailing","19","417","22","$14.99","75%","77,000","02:35"
"299","Capitalism","13","1,304","100","$14.99","80%","218,000","03:23"
"300","Dynamic Narration","13","1,591","122","$14.99","86%","110,000","02:13"
"308","Golf","10","450","45","$14.99","63.5%","69,000","00:50"
"322","Voice Control","5","84","17","$14.99","75%","43,000","02:48"
"86","JRPG","196","12,887","66","$14.49","83%","69,000","03:20"
"290","Lore-Rich","16","6,495","406","$14.49","88%","202,000","03:33"
"126","Dark Fantasy","116","18,601","160","$13.99","85%","132,000","03:33"
"192","2D Fighter","55","3,799","69","$13.99","86%","59,000","02:39"
"301","Co-op Campaign","13","776","60","$13.99","85%","128,000","03:42"
"77","Hack and Slash","231","20,736","90","$13.37","81%","197,000","02:57"
"257","Programming","28","962","34","$13.18","89.5%","21,000","02:18"
"16","Open World","949","226,702","239","$12.99","76%","258,000","02:51"
"34","Sandbox","608","117,821","194","$12.99","78%","208,000","03:12"
"41","Third Person","524","82,713","158","$12.99","79%","398,000","02:59"
"59","Turn-Based Strategy","320","25,974","81","$12.99","78%","72,000","03:18"
"71","Crafting","241","59,692","248","$12.99","72%","128,000","03:10"
"85","War","198","28,269","143","$12.99","80%","493,000","03:39"
"105","Cyberpunk","150","12,047","80","$12.99","82.5%","65,000","02:08"
"118","Choices Matter","129","20,871","162","$12.99","86%","102,000","03:32"
"135","Economy","109","7,644","70","$12.99","76%","102,000","03:09"
"187","Real-Time","58","3,031","52","$12.99","83%","206,000","04:21"
"313","Basketball","9","756","84","$12.99","54%","18,000","01:08"
"316","Pool","7","209","30","$12.99","80%","47,000","01:19"
"317","Bowling","7","2,759","394","$12.99","78%","41,000","01:57"
"161","Resource Management","78","5,553","71","$12.49","82.5%","116,000","04:08"
"236","Comic Book","36","3,669","102","$12.49","86%","245,000","04:28"
"285","Inventory Management","18","2,204","122","$12.49","88.5%","615,000","02:50"
"318","Transhumanism","6","774","129","$12.49","76%","690,000","02:09"
"69","Building","253","51,394","203","$11.99","77%","126,000","03:04"
"141","City Builder","104","11,453","110","$11.99","77%","112,000","03:34"
"275","Fishing","21","1,567","75","$11.99","76%","61,000","03:18"
"276","Mars","21","766","36","$11.99","73%","259,000","02:23"
"124","Romance","118","5,417","46","$10.99","90%","30,000","03:17"
"134","Turn-Based Tactics","110","3,826","35","$10.99","78%","34,000","03:10"
"248","Political","32","2,633","82","$10.99","86%","71,000","02:44"
"263","Thriller","26","1,104","42","$10.99","79%","33,000","02:47"
"190","Split Screen","56","2,072","37","$10.01","82.5%","200,000","03:04"
"4","Singleplayer","3157","260,102","82","$9.99","83%","143,000","02:29"
"6","Strategy","2450","186,007","76","$9.99","76%","45,000","02:38"
"7","Simulation","2160","153,616","71","$9.99","74%","25,000","02:19"
"8","RPG","2071","205,436","99","$9.99","78%","54,000","02:46"
"9","Multiplayer","1790","301,478","168","$9.99","78%","229,000","02:14"
