#,Tag,Games with this tag,Votes for this tag,Tag weight,Price (median),Userscore (median),Owners (median),Playtime (median)
1,Indie,6519,"320,488",49,$5.99,79%,"21,000",02:00
2,Action,4915,"477,560",97,$7.99,79%,"39,000",01:51
3,Adventure,4313,"318,520",74,$7.99,80%,"38,000",02:25
4,Singleplayer,3191,"262,050",82,$9.99,83%,"142,000",02:23
5,Casual,3072,"108,304",35,$4.99,79%,"23,000",02:04
6,Strategy,2453,"185,810",76,$9.99,76%,"42,000",02:32
7,Simulation,2172,"154,212",71,$9.99,74%,"23,000",02:11
8,RPG,2071,"205,121",99,$8.99,78%,"51,000",02:39
9,Multiplayer,1802,"303,500",168,$9.99,79%,"228,000",02:06
10,Great Soundtrack,1482,"115,784",78,$9.99,88%,"112,000",02:29
11,Atmospheric,1308,"131,855",101,$9.99,84%,"130,000",02:47
12,Puzzle,1272,"51,139",40,$6.99,85%,"45,000",02:16
13,2D,1242,"54,126",44,$7.99,86%,"81,000",02:11
14,Horror,976,"75,320",77,$6.99,78%,"53,000",01:52
15,Co-op,962,"155,134",161,$9.99,80%,"369,000",02:28
16,Open World,961,"228,914",238,$12.99,77%,"268,000",02:45
17,Sci-fi,955,"84,248",88,$9.99,81%,"101,000",02:10
18,Platformer,931,"49,774",53,$7.99,84%,"47,000",01:55
19,Early Access,922,"135,964",147,$9.99,77.5%,"10,000",01:38
20,Shooter,906,"151,172",167,$9.99,81%,"209,000",01:39
21,Story Rich,898,"97,804",109,$9.99,87%,"113,000",03:07
22,Female Protagonist,888,"42,127",47,$9.99,84%,"43,000",02:43
23,First-Person,855,"158,667",186,$9.99,79%,"192,000",01:40
24,Anime,843,"48,559",58,$9.99,85%,"29,000",02:39
25,Free to Play,839,"191,886",229,$0,73%,"166,000",00:23
26,Difficult,828,"54,364",66,$8.49,86%,"91,000",02:14
27,Fantasy,827,"60,151",73,$9.99,80.5%,"128,000",03:00
28,Pixel Graphics,821,"41,347",50,$5.99,85%,"35,000",02:03
29,Funny,742,"70,367",95,$9.99,86%,"170,000",02:18
30,FPS,720,"170,652",237,$9.99,77%,"236,000",01:44
31,VR,692,"11,143",16,$7.99,81%,"6,000",00:31
32,Survival,654,"141,381",216,$9.99,77%,"122,000",02:17
33,Sandbox,617,"118,883",193,$13.99,78.5%,"217,000",03:07
34,Point & Click,616,"26,955",44,$6.99,83%,"37,000",02:46
35,Comedy,601,"62,633",104,$9.99,87%,"132,000",02:28
36,Retro,575,"18,704",33,$5.99,85%,"46,000",01:48
37,Classic,572,"37,819",66,$9.99,87%,"167,000",01:34
38,Arcade,561,"16,819",30,$6.99,84%,"49,000",01:37
39,VR Only,536,536,1,$6.99,82.5%,"5,000",00:25
40,Third Person,531,"84,087",158,$13.19,80%,"409,000",02:46
41,Turn-Based,530,"31,640",60,$9.99,80%,"71,000",03:04
42,Sports,501,"20,447",41,$9.99,75%,"19,000",01:46
43,Space,484,"42,066",87,$9.99,78%,"53,000",02:10
44,Gore,478,"39,287",82,$9.99,83%,"123,000",02:22
45,Massively Multiplayer,478,"61,133",128,$0,67%,"228,000",00:52
46,Racing,458,"38,007",83,$6.99,75%,"32,000",01:46
47,Exploration,445,"58,641",132,$9.99,81%,"86,000",02:28
48,Visual Novel,429,"21,389",50,$9.99,88%,"14,000",02:51
49,Zombies,400,"82,577",206,$6.99,76.5%,"99,000",02:00
50,Cute,391,"18,054",46,$9.99,88%,"44,000",02:18
51,Family Friendly,391,"14,691",38,$6.99,84%,"51,000",02:19
52,Local Co-Op,389,"19,634",50,$9.99,86%,"119,000",02:12
53,Nudity,380,"23,411",62,$9.99,83%,"35,000",02:34
54,Tactical,372,"51,210",138,$9.99,78.5%,"217,000",02:44
55,Rogue-like,364,"22,556",62,$9.99,84%,"28,000",02:20
56,Local Multiplayer,333,"12,101",36,$9.99,86%,"81,000",01:46
57,Shoot 'Em Up,333,"8,258",25,$4.99,85%,"30,000",01:57
58,Online Co-Op,330,"69,604",211,$9.99,82%,"661,000",02:53
59,Controller,320,"10,136",32,$9.99,86%,"281,000",02:16
60,Turn-Based Strategy,320,"25,955",81,$14.99,78%,"72,000",03:01
61,RTS,314,"24,908",79,$9.99,78%,"108,000",02:30
62,Psychological Horror,313,"16,511",53,$6.99,80%,"43,000",02:02
63,Memes,281,"13,731",49,$4.99,85%,"51,000",02:23
64,Mystery,279,"12,060",43,$8.49,86%,"36,000",02:49
65,Short,267,"13,520",51,$4.99,83%,"129,000",01:34
66,Replay Value,266,"24,195",91,$9.99,87%,"49,000",03:28
67,Action RPG,263,"30,621",116,$9.99,81%,"221,000",03:07
68,Historical,258,"26,988",105,$14.99,80%,"113,000",03:33
69,Side Scroller,256,"8,626",34,$9.99,87%,"106,000",02:00
70,Building,254,"51,558",203,$13.99,77%,"122,000",02:59
71,Violent,251,"13,467",54,$8.99,81.5%,"20,000",02:08
72,Survival Horror,242,"32,376",134,$9.99,80%,"61,000",02:04
73,Crafting,242,"59,985",248,$13.19,72%,"126,000",03:00
74,Stealth,239,"46,949",196,$12.99,82%,"207,000",02:26
75,Physics,238,"23,561",99,$9.99,84%,"95,000",01:57
76,Management,237,"13,236",56,$9.99,73%,"37,000",03:37
77,Walking Simulator,232,"17,093",74,$7.99,75%,"93,000",01:38
78,Fast-Paced,227,"15,788",70,$8.99,87%,"88,000",01:33
